2021-02-08 08:28:32,878 DEBUG    Entering env context: <fiona.env.Env object at 0x0000005A70650948>
2021-02-08 08:28:32,878 DEBUG    Starting outermost env
2021-02-08 08:28:32,878 DEBUG    No GDAL environment exists
2021-02-08 08:28:32,878 DEBUG    New GDAL environment <fiona._env.GDALEnv object at 0x0000005A71091A88> created
2021-02-08 08:28:32,878 DEBUG    Logging error handler pushed.
2021-02-08 08:28:32,879 DEBUG    All drivers registered.
2021-02-08 08:28:32,879 DEBUG    GDAL_DATA found in environment: 'C:\\Users\\Mouris\\AppData\\Local\\Continuum\\anaconda3\\envs\\geo-python\\Library\\share\\gdal'.
2021-02-08 08:28:32,879 DEBUG    PROJ_LIB found in environment: 'C:\\Users\\Mouris\\AppData\\Local\\Continuum\\anaconda3\\envs\\geo-python\\Library\\share\\proj'.
2021-02-08 08:28:32,879 DEBUG    Started GDALEnv <fiona._env.GDALEnv object at 0x0000005A71091A88>.
2021-02-08 08:28:32,879 DEBUG    Updated existing <fiona._env.GDALEnv object at 0x0000005A71091A88> with options {}
2021-02-08 08:28:32,879 DEBUG    Entered env context: <fiona.env.Env object at 0x0000005A70650948>
2021-02-08 08:28:32,879 DEBUG    Index: 0
2021-02-08 08:28:32,888 DEBUG    Output nodata value read from file: nan
2021-02-08 08:28:32,888 DEBUG    Output nodata values: [nan]
2021-02-08 08:28:32,888 DEBUG    all_valid: False
2021-02-08 08:28:32,888 DEBUG    mask_flags: ([<MaskFlags.nodata: 8>],)
2021-02-08 08:28:32,890 DEBUG    Sharing flag: 0
2021-02-08 08:28:32,891 DEBUG    Nodata success: 1, Nodata value: nan
